Account.ID,Avg_Open_Count,Avg_Email_Link_Click_Count,Avg_Response_Time,Donation_Frequency,Total_Donation_Amount,Donor_Score,Engagement Type,Donation Type,State.Province,Zip.Code
356,0.0,0.0,0.0,3,1650.0,19.890187209550223,High Engagement,High Donation,Indiana,46204
357,1.0,0.0,0.0,3,927.81,19.923983879650873,High Engagement,High Donation,Wisconsin,53717
358,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53562
359,1.3333333333333333,0.0,0.0,3,78.17999999999999,19.93524943635109,High Engagement,High Donation,California,91942
360,2.0,0.0,0.0,3,36.0,19.957780549751522,High Engagement,Low Donation,Wisconsin,53219
361,1.3333333333333333,0.0,0.0,3,78.17999999999999,19.93524943635109,High Engagement,High Donation,Wisconsin,53705
362,3.5,1.0,0.0,3,309.9,22.754165719706418,High Engagement,High Donation,Wisconsin,53562
363,0.0,0.0,0.0,3,1500.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53705
364,1.0,0.0,0.0,3,155.39999999999998,19.923983879650873,High Engagement,High Donation,Wisconsin,53590
366,0.0,0.0,0.0,3,78.17999999999999,19.890187209550223,High Engagement,High Donation,Wisconsin,53575
367,1.0,0.0,0.0,3,78.39,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
368,2.0,1.0,0.0,1,12.0,9.443345908188626,Low Engagement,Low Donation,Wisconsin,53719
369,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53704
371,1.0,0.0,0.0,3,155.39999999999998,19.923983879650873,High Engagement,High Donation,Wisconsin,53704
372,0.0,0.0,0.0,3,78.39,19.890187209550223,High Engagement,High Donation,Wisconsin,53717
373,0.0,0.0,0.0,3,38.01,19.890187209550223,High Engagement,Low Donation,Wisconsin,53916
374,1.0,0.0,0.0,3,232.64999999999998,19.923983879650873,High Engagement,High Donation,Wisconsin,53713
375,2.0,0.0,0.0,3,78.17999999999999,19.957780549751522,High Engagement,High Donation,Wisconsin,53562
