,Zip Code,Population,Density,RUCC_2023,PerCapitaPersonalIncome
552,39507,16300.0,779.7,2.0,48902
553,39834,2197.0,7.0,6.0,44657
554,40040,335.0,6.3,8.0,47570
555,40052,564.0,10.3,1.0,56564
556,40055,2042.0,38.4,1.0,52499
557,40056,3421.0,464.1,1.0,82531
558,40146,4103.0,18.9,8.0,42080
559,40155,1040.0,743.4,1.0,49710
560,40505,26152.0,1265.1,2.0,65766
561,40807,391.0,491.4,7.0,40111
562,40823,3566.0,23.7,7.0,40111
563,40843,275.0,3.5,7.0,40111
564,41052,102.0,14.6,1.0,47749
565,41055,1924.0,11.8,6.0,51314
566,41168,2675.0,18.9,2.0,49074
567,41238,639.0,10.9,7.0,41188
568,41557,1780.0,33.0,7.0,46272
569,41667,599.0,29.1,7.0,45540
570,41712,411.0,30.5,7.0,46219
571,42031,2898.0,7.4,8.0,54753
572,42083,260.0,3.5,3.0,49169
573,42217,3164.0,7.7,2.0,46804
574,42265,954.0,7.2,6.0,47354
575,42344,854.0,9.5,6.0,42598
576,42347,6204.0,19.4,6.0,41556
577,42411,1934.0,8.6,7.0,45883
578,42431,25729.0,59.6,5.0,49158
579,42565,846.0,12.2,9.0,42262
580,42649,2087.0,11.2,9.0,35036
581,43021,12708.0,137.7,1.0,93124
582,43026,63047.0,694.1,1.0,63874
583,43062,29241.0,143.2,1.0,58710
584,43065,43034.0,575.5,1.0,93124
585,43070,177.0,447.6,6.0,51945
586,43119,27568.0,334.7,1.0,63874
587,43138,17986.0,39.4,1.0,48115
588,43155,2672.0,34.1,1.0,58194
589,43231,22393.0,2013.3,1.0,63874
590,43316,5856.0,31.4,7.0,59710
591,43320,1302.0,15.2,1.0,51281
592,43342,2862.0,25.8,4.0,45112
593,43357,3825.0,21.6,4.0,51515
594,43527,1947.0,14.3,6.0,55580
595,43723,5202.0,113.4,6.0,51043
596,43746,1494.0,27.4,4.0,52225
597,43777,4803.0,35.0,4.0,52225
598,43961,385.0,363.4,3.0,48346
599,43968,6283.0,70.8,4.0,47871
600,43972,59.0,173.0,3.0,51534
601,44050,6517.0,98.8,1.0,59141
602,44124,37341.0,990.4,1.0,68360
603,44139,24112.0,405.8,1.0,68360
604,44230,8502.0,190.8,4.0,58161
605,44253,3094.0,48.5,1.0,70562
606,44302,4489.0,1846.2,2.0,64598
607,44311,8062.0,1630.7,2.0,64598
608,44428,3061.0,21.7,2.0,49159
609,44443,1753.0,52.7,2.0,54630
610,44470,3893.0,56.2,2.0,49159
611,44709,19096.0,1279.8,2.0,56961
612,44714,8495.0,1248.5,2.0,56961
613,44836,2330.0,25.6,4.0,50248
614,44847,3604.0,19.8,4.0,50983
615,44905,13387.0,406.4,3.0,48116
616,45014,43620.0,776.4,1.0,58192
617,45033,182.0,1369.1,1.0,75833
618,45122,11088.0,96.8,1.0,63599
619,45224,21481.0,1283.2,1.0,75833
620,45317,1260.0,19.7,6.0,51945
621,45337,1724.0,32.5,2.0,60457
622,45459,27342.0,748.3,2.0,58304
623,45624,0.0,0.0,9.0,48745
624,45628,5187.0,24.9,4.0,46934
625,45682,2133.0,17.7,4.0,49423
626,45694,12276.0,66.5,4.0,49423
627,45766,1109.0,14.5,4.0,42018
628,45866,111.0,226.1,7.0,67802
629,45876,781.0,502.9,6.0,63830
630,46062,35349.0,400.7,1.0,99456
631,46172,2562.0,14.7,6.0,48687
632,46348,1031.0,7.8,3.0,53144
633,46349,3251.0,14.9,1.0,53359
634,46360,43678.0,218.1,3.0,53144
635,46544,31988.0,308.0,2.0,56895
636,46635,6363.0,786.6,2.0,56895
637,46737,7329.0,43.5,7.0,56713
638,46747,2292.0,24.1,7.0,56713
639,46994,2815.0,18.9,4.0,49257
640,47001,10009.0,53.0,1.0,60731
641,47040,5103.0,29.4,1.0,55398
642,47166,1515.0,45.6,1.0,57403
643,47263,255.0,787.1,6.0,55366
644,47274,31352.0,57.2,4.0,51461
645,47374,45571.0,149.8,5.0,52493
646,47403,33505.0,149.6,3.0,57379
647,47454,7046.0,21.5,8.0,47330
648,47462,4812.0,24.5,6.0,54421
649,47522,437.0,20.0,9.0,53113
650,47968,1030.0,16.3,6.0,51959
651,48095,5765.0,131.5,1.0,58565
652,48201,15846.0,3050.9,1.0,52727
653,48206,16065.0,1984.4,1.0,52727
654,48335,22998.0,1178.8,1.0,90781
655,48367,4697.0,77.3,1.0,90781
656,48437,783.0,511.9,2.0,52520
657,48453,5153.0,18.6,8.0,50153
658,48466,1473.0,15.5,8.0,50153
659,48631,4188.0,48.8,3.0,52579
660,48662,1659.0,13.8,6.0,45517
661,48667,0.0,0.0,3.0,64106
662,48705,511.0,2.2,9.0,50791
